"ID","Title","Attachments","Expected Result","Preconditions","Priority","References","Section","Section Description","Status","Steps","Steps (Expected Result)","Suite","Suite ID","Type","is_converted"
"C46","Geçerli bilgilerle kayıt olunabilindiğinin doğrulanması","","","<p>Kullanıcı sign up sayfasında olmalı</p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Kayıt işlemi başarılı olmalı <span white-space: pre;"""" data-pasted=""""true"""">    </span></p><p><span data-pasted=""""true"""">Kullanıcı giriş yapabilmeli veya yönlendirilmelidir<span white-space: pre;"""" data-pasted=""""true"""">    </span></span></p>","Master","S6","Functional","1"
"C47","Başarılı kayıt sonrası confirmation emailinin gönderildiğinin doğrulanması","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p><span white-space: pre;"""" data-pasted=""""true"""">  </span></p>​
5. <p>Kullanıcının email adresine doğrulama/confirmation maili gönderilmiş olmalıdır<span white-space: pre;"""" data-pasted=""""true"""">  </span></p>","Master","S6","Functional","1"
"C48","Name alanı boş bırakıldığında hata mesajı görüntülendiğini doğrula","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Name alanı için """"Required field"""" hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C49","Geçersiz email formatıyla kayıt olunamadığını doğrula","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Email formatı için hata mesajı görüntülenmeli,kayıt oluşturulmamalıdır<span white-space: pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C50","6 karakterden kısa password ile kayıt olunamadığını doğrula","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Password """"minimum uzunluk"""" hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C51","Password içinde boşluk olduğunda kayıt olunamadığının doğrulanması","","","<p>Kullanıcı,sign up sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>""""Password boşluk içeremez"""" hata raporu görünmelidir.<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C52","Daha önce kayıtlı email ile tekrar kayıt olunamadığının doğrulanması","","","<p>Aynı email ile daha önce hesap oluşturulmuş olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign Up/Register","<p>Yeni kullanıcı kaydı sürecine ait pozitif ve negatif test senaryoları bu bölümde yer almaktadır.</p>","Design","","1. 
2. 
3. 
4. <p>Kullanıcı ekranında bir hata modülü açılmalıdır<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C53","Sign in sayfasında geçerli bilgilerle giriş yapılabilindiğinin doğrulanması","","","<p>Kullanıcı Sıgn In sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign In/Login","<p>Bu bölüm, kullanıcının sisteme giriş yapma sürecine ait test case'leri içerir.</p>","Design","","1. 
2. 
3. <p>Kullanıcı başarılı şekilde giriş yapabilmeli<span white-space:pre;"""" data-pasted=""""true"""">  ve Diary sayfasına yönlendirilmeli</span></p>","Master","S6","Functional","1"
"C54","Email alanı boş bırakıldığında giriş yapılamadığının doğrulanması","","","<p>Kullanıcı Sıgn In sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Sign In/Login","<p>Bu bölüm, kullanıcının sisteme giriş yapma sürecine ait test case'leri içerir.</p>","Design","","1. 
2. 
3. <p>Email alanı için hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C55","Yanlış password ile giriş yapılamadığının doğrulanması","","","<p><span style=""white-space: pre"" data-pasted=""true"">          1.    Kullanıcının kayıtlı hesabı olmalı<span style=""white-space: pre"" data-pasted=""true"">     </span></span></p><p><span style=""white-space: pre""><span style=""white-space: pre"">          2.     Sıgn ın sayfası açık olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></span></span></p>","High","PowerPulse Requirements - User Registration","Sign In/Login","<p>Bu bölüm, kullanıcının sisteme giriş yapma sürecine ait test case'leri içerir.</p>","Design","","1. 
2. 
3. <p>Kullanıcı giriş yapamamalı<span white-space:pre;"""" data-pasted=""""true"""">    ve Hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></span></p>","Master","S6","Functional","1"
"C56","Video Tutorial izleyici sayısının görüntülendiğini doğrula","","","<p>Kullanıcı, giriş yapmamış olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p><p><span data-pasted=""true"">Kullanıcı, başlangıç sayfasında olmalı</span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Video tutorial izleyici sayısı görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C57","İstatisik bilgilerinin kullanıcılar tarafından anlaşılabilir olduğunun doğrulanması","","","<p>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>İstatistik bilgileri açıklayıcı başlık, birim veya açıklama ile anlaşılır şekilde görüntülenmelidir.<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C58","Toplam kayıtlı kullanıcı sayısının görüntülediğini doğrula","","","<p>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Uygulamaya kayıtlı toplam kullanıcı sayısı görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C59","Egzersiz için harcanan toplam saat bilgisinin görüntülendiğini doğrula","","","<p>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Kullanıcılar tarafından egzersiz için harcanan toplam saat görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C60","Toplam egzersiz sayısının görüntülendiğini doğrula","","","<p>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Kullanıcılar tarafından gerçekleştirilen toplam egzersiz sayısı görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C61","Kullanıcılar tarafından yakılan toplam kalorinin başlangıç sayfasında açıkça görüntülendiğini doğrula","","","<p>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Kullanıcılar tarafından yakılan toplam kalori miktarı kcal cinsinden açıkça görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C62","PowerPulse Logosunun görüntülendiğini doğrula","","","<p>Kullanıcı başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. <p>PowerPulse logosu header içinde görünür olmalı<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C63","PowerPulse logosuna tıklanınca Diary sayfasına yönlenildiğinin doğrulanması","","","<p>Kullanıcı, giriş yapmış olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. <p>Kullanıcı, diary sayfasına yönlendirilmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C64","Settings/Edit ikonuna tıklandığında Edit Profile düzenleme penceresi açıldığının doğrulanması","","","<p>Kullanıcı, giriş yapmış olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p>","High","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. 
2. 
3. <p>Kullanıcıya ait edit profile düzenleme penceresi açılmalıdır<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C66","Başlangıç sayfasındaki istatistik kartlarının ekran sınırları içinde görüntülenmesini doğrula","","","<p>1.Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">               </span></p><p><span style=""white-space: pre""> 2.Uygulama, Chrome tarayıcıda açılmış olmalı<span style=""white-space: pre"" data-pasted=""true"">   </span></span></p><p><span style=""white-space: pre""><span style=""white-space: pre"">3.   Masaüstü görünüm kullanılmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span>                  </span> </span></p>","High","PowerPulse Requirements - User Registration","Header","<p>Logo, menü ve sayfa geçişleri gibi caselerin yazıldığı bölümdür.</p>","Design","","1. <p>Baş.sayfası başarılı şekilde görünmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
2. <p>Kart ekran sınırları içinde kalmalıdır<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
3. <p>Sayı bilgisi kesilmeden görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
4. <p>Sayfada yatay scroll/taşma oluşmamalıdır<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C67","Profil ayarları sayfasındaki doğum tarihi alanının etiket kontrolünün sağlanması","","","<p>1.Kullanıcı, giriş yapmış olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p><p><span data-pasted=""true"">2.Profil settings sayfası açık olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></span></p>","Medium","PowerPulse Requirements - User Registration","Profile Settings","<p>Profil bilgisi ekleme/güncelleme caseleri bu bölümdedir.</p>","Design","","1. 
2. <p>Tarih alanının üzerinde veya yanında """"Birthday"""" ya da """"Doğum Tarihi"""" gibi açıklayıcı bir etiket bulunmalıdır.</p>
3. <p>Kullanıcı, alanın ne için olduğunu kolayca anlamalıdır<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C68","Profile settings sayfasının açıldığını doğrula","","","<p>1.Kullanıcı, giriş yapmış olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p><p><span data-pasted=""true""><span style=""white-space: pre"" data-pasted=""true"">         </span></span></p>","Medium","PowerPulse Requirements - User Registration","Profile Settings","<p>Profil bilgisi ekleme/güncelleme caseleri bu bölümdedir.</p>","Design","","1. <p>Profil settings sayfası görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C69","Kullanıcının temel bilgilerinin değiştirilebilir olduğunu doğrula","","","<p>1.Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"" data-pasted=""true"">       </span></p><p><span style=""white-space: pre"">2. Kullanıcı profil settings sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span>           </span></p>","High","PowerPulse Requirements - User Registration","Profile Settings","<p>Profil bilgisi ekleme/güncelleme caseleri bu bölümdedir.</p>","Design","","1. 
2. <p>Kullanıcı mevcut bilgilerini düzenleyebilmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C70","Günlük kalori ihtiyacının görüntülendiğini doğrula","","","<p>Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"" data-pasted=""true"">    </span></p><p><span style=""white-space: pre""> Kullanıcı profil settings sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></span></p>","Medium","PowerPulse Requirements - User Registration","Profile Settings","<p>Profil bilgisi ekleme/güncelleme caseleri bu bölümdedir.</p>","Design","","1. <p>mevcut göstergelere göre hesaplanan günlük kalori görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C71","Günlük spor süresi değerinin güncellenmesinin kontrolü","","","<p>Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p><p><span data-pasted=""true"">Kullanıcı profil settings sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></span></p>","High","PowerPulse Requirements - User Registration","Profile Settings","<p>Profil bilgisi ekleme/güncelleme caseleri bu bölümdedir.</p>","Design","","1. 
2. 
3. 
4. 
5. 
6. <p>Aktive seviyesi değiştiğinde """"Daily norm of sports"""" değeri güncellenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C72","Name alanının min 2 karakter kabul ettiğinin doğrulanması","","","<p>Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p><p><span data-pasted=""true"">Kullanıcı profil settings sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></span></p>","High","PowerPulse Requirements - User Registration","Profile Settings","<p>Profil bilgisi ekleme/güncelleme caseleri bu bölümdedir.</p>","Design","","1. <p>Name için hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C73","Name alanına sadece latin harfleri kabul ettiğinin doğrulanması","","","<p>Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></p><p><span data-pasted=""true"">Kullanıcı profil settings sayfasında olmalı<span style=""white-space: pre"" data-pasted=""true"">                        </span></span></p>","Medium","PowerPulse Requirements - User Registration","Profile Settings","<p>Profil bilgisi ekleme/güncelleme caseleri bu bölümdedir.</p>","Design","","1. 
2. <p>Name alanı için uyarı mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C74","Height alanının 150'den küçük değerle kaydedilmediğinin doğrulanması","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Kullanıcı profil settings sayfasında olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Profile Settings","<p>Profil bilgisi ekleme/güncelleme caseleri bu bölümdedir.</p>","Design","","1. 
2. <p>Height için hata mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C75","Diary sayfasındaki tarihin güncel tarih olduğunu doğrula","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Kullanıcı Diary sayfasında olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Diary","<p>Diary görüntüleme, ürün/egzersiz ekleme-silme</p>","Design","","1. <p>Varsayılan seçili tarih bugünün tarihi olmalıdır<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C76","Diary sayfasındaki güncel tarihte sağ ok ile bir sonraki güne gitmek","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Kullanıcı Diary sayfasında olmalı<span style=""white-space: pre"">                        </span></p>","Medium","PowerPulse Requirements - User Registration","Diary","<p>Diary görüntüleme, ürün/egzersiz ekleme-silme</p>","Design","","1. <p>Seçili tarih bir sonraki güne değişmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C77","Ürün eklendiğinde Calories consumed bilgisinin güncellendiğini doğrula","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Kullanıcı Diary sayfasında olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Diary","<p>Diary görüntüleme, ürün/egzersiz ekleme-silme</p>","Design","","1. 
2. <p>Calories consumed değeri, sayfa yenilenmeden güncellenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C78","Products Filters alanında """"enter"""" tuşuyla arama yapılabildiğini doğrula","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Kullanıcı, products sayfasında olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Products","<p>Ürün listeleme, kategori, filtre ile ilgili testler</p>","Design","","1. 
2. <p>Ürün listesi arama sonucuna göre listelenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C79","Backend'den veri gelmediğinde placeholder mesajının görüntülendiğini doğrulanması","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Kullanıcı, products sayfasında olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Products","<p>Ürün listeleme, kategori, filtre ile ilgili testler</p>","Design","","1. <p>Placeholder mesajı görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C80","Alt kategori öğesine tıklanınca """"Back"""" butonunun görüntülendiğini doğrula","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Kullanıcı, Exercises sayfasında olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Exercises","<p>Egzersiz type ve egzersiz kategorileri listeleme tesleri</p>","Design","","1. <p>Sayfada Back butonu görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C81","Exercise'da start butonuna tıklanınca egzersiz detay modalının gerekli bilgilerle açıldığını doğrula","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Kullanıcı, Exercises sayfasında ve egzersiz listesinde olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Exercises","<p>Egzersiz type ve egzersiz kategorileri listeleme tesleri</p>","Design","","1. <p>Modal açılmalı<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
2. <p>Egzersiz adı,gif,body part,target,equipment, timer ve burned calories bilgileri görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C82","Timer, pause durumunda durmalı, resume sonrası kaldığı yerden devam etmelidir","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Kullanıcı, Exercises sayfasında ve egzersiz listesinde olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Exercises","<p>Egzersiz type ve egzersiz kategorileri listeleme tesleri</p>","Design","","1. 
2. <p>Timer, pause durumunda durmalı<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
3. <p>Resume sonrası kaldığı yerden devam etmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Functional","1"
"C83","X ikonuna tıklandığında modalın veri kaydetmeden kapandığını doğrula","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Egzersiz detay modalı açık olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Exercises","<p>Egzersiz type ve egzersiz kategorileri listeleme tesleri</p>","Design","","1. <p>Egzersiz detay/timer modalı açılmalı ve timer başlatılabilir durumda görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
2. 
3. <p>Modal kapanmalı ve kullanıcı diary/egzersiz ekranına geri dönmelidir</p>","Master","S6","Functional","1"
"C84","To the diary bağlantısına tıklanınca kullanıcının diary sayfasına gittiğini doğrula","","","<p data-pasted=""true"">Kullanıcı giriş yapmış olmalı<span style=""white-space: pre"">                        </span></p><p>Egzersiz başarı notification modalı açık olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Exercises","<p>Egzersiz type ve egzersiz kategorileri listeleme tesleri</p>","Design","","1. <p>Kullanıcı diary sayfasına yönlendirilmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>","Master","S6","Other","1"
"C85","Uygulama sayfalarının farklı ekran genişliklerinde şablona uygun görüntülendiğini doğrula","","","<p data-pasted=""true""><span style=""white-space: pre"">          </span></p><p>1<span style=""white-space: pre"">    </span>Kullanıcı, başlangıç sayfasında olmalı<span style=""white-space: pre"">                        </span></p><p>2<span style=""white-space: pre"">    </span>Uygulama, Chrome tarayıcıda açılmış olmalı<span style=""white-space: pre"">                        </span></p><p>3<span style=""white-space: pre"">    </span>DevTools responsive mode açık olmalı<span style=""white-space: pre"">                        </span></p>","High","PowerPulse Requirements - User Registration","Responsive Testing","<p>320px, 375px, tablet ve desktop kontrolleri</p>","Design","","1. <p>Responsive test ortamı başarıyla açılmalıdır<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
2. <p>Sayfa şablonu uygun şekilde görüntülenmeli, içerikler kesilmemelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
3. <p>Ögeler sabitlenmeli ve viewport değişimine göre düzgün esnemelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
4. <p>Sayfa tablet görünümüne uygun şekilde görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
5. <p>Sayfa, desktop görünümüne uygun şekilde görüntülenmelidir<span white-space:pre;"""" data-pasted=""""true"""">    </span></p>
6. <p data-pasted=""""true"""">Metinler, butonlar, görseller ve kartlar kesilmeden, üst üste binmeden<span white-space:pre;"""">    </span></p><p>ve ekran dışına taşmadan görüntülenmelidir<span white-space:pre;"""">    </span></p>","Master","S6","Other","1"
